[Capítulo 1](https://www.archive.org/download/biblereinavalera02exodo_1611_librivox/exodo_01_rva_128kb.mp3) from [Bible (Reina Valera) 02: Éxodo](https://librivox.org/bible-reina-valera-02-exodo-by-reina-valera/) read by [Joyfull](https://librivox.org/reader/9972)
cutTemplate.txt
# word,start_ms,end_ms,global_m_start,global_m_end,local_m_start,local_m_end,export_path
familia,24687.5937,25147.5937,0.0000,0.1000,0.0200,0.0100,ApprovedWords\familia_1784691951.wav
conSuFamilia,24687.5937,25147.5937,0.0000,0.1000,-0.2500,0.0100,ApprovedWords\conSuFamilia_1784691971.wav
generación,51547.5937,52247.5937,0.0000,0.1000,0.0700,0.0300,ApprovedWords\generación_1784692145.wav
aumentados,57047.5937,58027.5937,0.0000,0.1000,0.1300,0.0600,ApprovedWords\aumentados_1784692221.wav
pueblo,70587.5937,70887.5937,0.0000,0.1000,0.0200,0.0200,ApprovedWords\pueblo_1784692320.wav
vayaDeLaTierra,89547.5937,89907.5937,0.0000,0.1000,-0.5100,0.0300,ApprovedWords\vayaDeLaTierra_1784692480.wav
crecían,108907.5937,109427.5937,0.0000,0.1000,0.0300,0.0600,ApprovedWords\crecían_1784692680.wav
servidumbre,120805.7337,121565.7337,0.0000,0.1200,0.0700,-0.0700,ApprovedWords\servidumbre_1784692966.wav
barro,122565.7337,123085.7337,0.0000,0.1200,0.0700,-0.0900,ApprovedWords\barro_1784693003.wav
ladrillo,123365.7337,123905.7337,0.0000,0.1200,-0.0100,-0.0300,ApprovedWords\ladrillo_1784693034.wav
campo,125425.7337,125825.7337,0.0000,0.1200,0.1300,0.0300,ApprovedWords\campo_1784693063.wav
servicio,127105.7337,127645.7337,0.0000,0.1200,0.0050,0.0500,ApprovedWords\servicio_1784693162.wav
parteras,160566.7926,161146.7926,-0.0200,0.1200,0.0700,-0.0400,ApprovedWords\parteras_1784693536.wav
enGranManera,184086.7926,184566.7926,-0.0200,0.1200,-0.3100,0.0100,ApprovedWords\enGranManera_1784693687.wav

[Capítulo 2](https://www.archive.org/download/biblereinavalera02exodo_1611_librivox/exodo_02_rva_128kb.mp3) from [Bible (Reina Valera) 02: Éxodo](https://librivox.org/bible-reina-valera-02-exodo-by-reina-valera/) read by [Joyfull](https://librivox.org/reader/9972)
cutTemplate.txt
# word,start_ms,end_ms,global_m_start,global_m_end,local_m_start,local_m_end,export_path
escondido,26640.0000,27400.0000,-0.0200,0.2000,0.0900,-0.1200,ApprovedWords\escondido_1784697775.wav
tiempo,31020.0000,31460.0000,-0.0200,0.2000,0.1100,-0.0700,ApprovedWords\tiempo_1784697834.wav
río,51580.0000,51860.0000,-0.0200,0.2000,-0.0100,-0.1200,ApprovedWords\río_1784698429.wav
carrizal,57520.0000,58140.0000,-0.0200,0.2000,0.0500,-0.1300,ApprovedWords\carrizal_1784698477.wav
lloraba,66140.0000,66700.0000,-0.0200,0.2000,0.1500,-0.1200,ApprovedWords\lloraba_1784698548.wav
dijo,69220.0000,69460.0000,-0.0200,0.2000,-0.0200,0.0000,ApprovedWords\dijo_1784698680.wav
Entonces,73080.0000,73600.0000,-0.0200,0.2000,0.0700,0.0600,ApprovedWords\Entonces_1784698716.wav
respondió,82340.0000,83120.0000,-0.0200,0.2000,0.1100,-0.0800,ApprovedWords\respondió_1784698845.wav
doncella,85520.0000,86160.0000,-0.0200,0.2000,0.0700,-0.1400,ApprovedWords\doncella_1784698871.wav
críamelo,92620.0000,93220.0000,-0.0200,0.2000,0.0900,-0.1100,ApprovedWords\críamelo_1784698973.wav
diciendo,107711.5202,108131.5202,-0.0200,0.2000,0.0500,0.1200,ApprovedWords\diciendo_1784699228.wav
cargas,118291.5202,118771.5202,-0.0200,0.2000,0.1300,0.0600,ApprovedWords\cargas_1784699350.wav
susHermanos,123351.5202,124031.5202,-0.0200,0.2000,-0.1300,-0.1300,ApprovedWords\susHermanos_1784699408.wav
todasPartes,125451.5202,126031.5202,-0.0200,0.2000,-0.1200,0.0800,ApprovedWords\todasPartes_1784699533.wav
partes,125451.5202,126031.5202,-0.0200,0.2000,0.2600,0.0800,ApprovedWords\partes_1784699660.wav
prójimo,140271.5202,140751.5202,-0.0200,0.2000,0.1000,-0.0700,ApprovedWords\prójimo_1784699747.wav
miedo,151511.5202,151951.5202,-0.0200,0.2000,0.1000,-0.0700,ApprovedWords\miedo_1784699917.wav
sieteHijas,169831.5202,170231.5202,-0.0200,0.2000,0.1400,0.4600,ApprovedWords\sieteHijas_1784700052.wav
aSacarAgua,172491.5202,172771.5202,-0.0200,0.2000,-0.0600,0.4000,ApprovedWords\aSacarAgua_1784700174.wav
agua,172771.5202,173271.5202,-0.0200,0.2000,0.1900,-0.1100,ApprovedWords\agua_1784700312.wav
pastores,197762.1441,198342.1441,-0.0200,0.2000,0.1100,0.0100,ApprovedWords\pastores_1784700607.wav
varón,211782.1441,212222.1441,-0.0200,0.2000,0.0900,-0.1100,ApprovedWords\varón_1784700751.wav
tierraAjena,224142.1441,224502.1441,-0.0200,0.2000,0.0800,0.5300,ApprovedWords\tierraAjena_1784700806.wav
ajena,224502.1441,225082.1441,-0.0200,0.2000,0.1600,-0.0600,ApprovedWords\ajena_1784700894.wav

[Capítulo 3](https://www.archive.org/download/biblereinavalera02exodo_1611_librivox/exodo_03_rva_128kb.mp3) from [Bible (Reina Valera) 02: Éxodo](https://librivox.org/bible-reina-valera-02-exodo-by-reina-valera/) read by [Joyfull](https://librivox.org/reader/9972)
cutTemplate.txt
# word,start_ms,end_ms,global_m_start,global_m_end,local_m_start,local_m_end,export_path
Antigua,4780.0000,5460.0000,-0.0200,0.1500,0.1200,-0.1300,ApprovedWords\Antigua_1784706998.wav
público,9000.0000,9420.0000,-0.0200,0.1500,0.1100,0.0000,ApprovedWords\público_1784707036.wav
3,14220.0000,14620.0000,-0.0200,0.1500,0.1500,0.0000,ApprovedWords\3_1784707074.wav
